UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
63,L47242,-1,298.8,309.0,1829,22.9,172,0,1
64,M14923,0,298.9,309.0,1812,25.9,174,0,1
65,L47244,-1,299.0,309.1,1523,38.6,177,0,1
66,L47245,-1,299.0,309.1,1394,45.1,179,0,1
67,M14926,0,298.9,308.9,1679,28.7,181,0,1
68,H29481,1,298.8,308.9,1466,44.1,184,0,1
69,L47248,-1,298.8,308.9,1527,32.4,189,0,1
70,L47249,-1,298.9,309.0,1410,65.7,191,1,3
71,M14930,0,298.9,309.0,1924,22.6,193,0,1
72,L47251,-1,298.9,309.1,1452,45.5,196,0,1
73,L47252,-1,298.9,309.1,1369,44.4,198,0,1
74,L47253,-1,299.0,309.1,1592,35.0,200,0,1
75,L47254,-1,298.9,309.0,1601,32.3,202,0,1
76,L47255,-1,298.8,308.9,1379,46.7,204,0,1
77,L47256,-1,298.8,308.9,1461,47.9,206,0,1
78,L47257,-1,298.8,308.9,1455,41.3,208,1,5
79,L47258,-1,298.8,308.9,1398,51.5,0,0,1
80,L47259,-1,298.8,308.9,1402,37.9,2,0,1
81,H29494,1,298.8,308.8,1445,49.9,4,0,1
82,L47261,-1,298.9,308.9,1450,47.5,9,0,1
83,L47262,-1,298.9,308.9,1453,40.8,11,0,1
84,L47263,-1,299.0,309.0,1469,40.1,13,0,1
85,L47264,-1,298.9,308.9,1422,47.6,15,0,1
86,M14945,0,299.0,309.0,1804,26.8,17,0,1
87,H29500,1,299.0,309.0,1436,43.9,20,0,1
88,L47267,-1,299.0,309.0,1544,31.8,25,0,1
89,M14948,0,299.0,309.0,1419,45.2,27,0,1
90,M14949,0,298.9,308.9,1487,39.5,30,0,1
91,L47270,-1,298.9,308.9,1753,25.8,33,0,1
92,L47271,-1,298.9,308.9,1830,24.9,35,0,1
93,M14952,0,298.9,308.9,1727,27.1,37,0,1
94,L47273,-1,299.1,309.0,1450,43.0,40,0,1
95,L47274,-1,299.0,308.9,1622,31.9,42,0,1
96,M14955,0,299.0,309.0,1351,52.2,44,0,1
97,M14956,0,299.0,309.0,1575,35.3,47,0,1
98,M14957,0,298.9,308.9,1750,29.9,50,0,1
99,L47278,-1,298.9,308.8,1529,32.7,53,0,1
100,L47279,-1,298.8,308.8,1523,44.4,55,0,1
101,L47280,-1,298.8,308.9,1852,25.0,57,0,1
102,L47281,-1,298.8,308.8,1991,20.7,59,0,1
103,L47282,-1,298.8,308.8,1555,40.6,61,0,1
104,M14963,0,298.8,308.8,1441,40.5,63,0,1
105,L47284,-1,298.8,308.7,1450,43.4,66,0,1
106,L47285,-1,298.8,308.7,1591,31.1,68,0,1
107,L47286,-1,298.8,308.7,1445,48.5,70,0,1
108,M14967,0,298.8,308.8,1497,46.8,72,0,1
109,H29522,1,298.9,308.8,1621,32.7,75,0,1
110,L47289,-1,298.9,308.7,1572,34.1,80,0,1
111,L47290,-1,298.8,308.6,1872,22.5,82,0,1
112,H29525,1,298.7,308.6,1499,43.5,84,0,1
113,M14972,0,298.8,308.7,1498,39.5,89,0,1
114,M14973,0,298.8,308.6,1486,41.9,92,0,1
115,L47294,-1,298.8,308.6,1680,29.4,95,0,1
116,L47295,-1,298.8,308.6,1431,45.7,97,0,1
117,L47296,-1,298.9,308.7,1564,34.1,99,0,1
118,L47297,-1,298.8,308.6,1599,33.0,101,0,1
119,M14978,0,298.8,308.6,1707,28.1,103,0,1
120,L47299,-1,298.7,308.5,1467,40.7,106,0,1
121,L47300,-1,298.9,308.7,1433,44.7,108,0,1
122,L47301,-1,298.9,308.7,1558,41.2,110,0,1
123,L47302,-1,299.0,308.8,1310,50.7,112,0,1
124,L47303,-1,298.9,308.7,1546,43.4,114,0,1
125,L47304,-1,298.9,308.7,1727,29.4,116,0,1
126,L47305,-1,298.9,308.6,1560,32.2,118,0,1
127,L47306,-1,299.0,308.6,1329,60.5,120,0,1
128,L47307,-1,298.9,308.6,1413,46.5,122,0,1
129,L47308,-1,299.0,308.6,1587,38.6,124,0,1
130,L47309,-1,298.9,308.5,1559,34.3,126,0,1
131,L47310,-1,298.8,308.4,1473,41.1,128,0,1
132,L47311,-1,298.8,308.4,1737,27.7,130,0,1
133,M14992,0,298.7,308.4,1441,43.2,132,0,1
134,M14993,0,298.7,308.4,1430,49.6,135,0,1
135,L47314,-1,298.8,308.4,1369,53.0,138,0,1
136,M14995,0,298.8,308.5,1711,28.5,140,0,1
137,H29550,1,298.7,308.5,1420,45.7,143,0,1
138,L47317,-1,298.7,308.6,1297,55.3,148,0,1
139,H29552,1,298.8,308.6,1449,49.4,150,0,1
140,L47319,-1,298.8,308.6,1268,55.8,155,0,1
141,L47320,-1,298.8,308.6,1511,36.1,157,0,1
142,L47321,-1,298.7,308.5,1544,35.2,159,0,1
143,M15002,0,298.6,308.4,1778,28.2,161,0,1
144,H29557,1,298.6,308.4,1407,50.5,164,0,1
145,M15004,0,298.6,308.4,1391,42.4,169,0,1
146,L47325,-1,298.5,308.4,1513,33.6,172,0,1
147,H29560,1,298.5,308.4,1612,36.1,174,0,1
148,L47327,-1,298.4,308.4,1515,40.1,179,0,1
149,M15008,0,298.3,308.3,1379,48.0,181,0,1
150,L47329,-1,298.4,308.3,1473,39.9,184,0,1
151,L47330,-1,298.4,308.3,1422,42.7,186,0,1
152,M15011,0,298.4,308.2,1463,37.6,188,0,1
153,M15012,0,298.4,308.2,1584,41.0,191,0,1
154,L47333,-1,298.4,308.2,1850,27.0,194,0,1
155,L47334,-1,298.4,308.2,1528,36.2,196,0,1
156,H29569,1,298.4,308.2,1987,19.8,198,0,1
157,M15016,0,298.4,308.1,1495,46.0,203,0,1
158,H29571,1,298.4,308.2,1478,43.5,206,0,1
159,M15018,0,298.4,308.2,1499,40.0,211,0,1
160,L47339,-1,298.4,308.2,1471,47.0,214,0,1
161,L47340,-1,298.4,308.2,1282,60.7,216,1,2
162,L47341,-1,298.3,308.1,1412,52.3,218,1,2
163,L47342,-1,298.3,308.1,1586,35.5,0,0,1
164,M15023,0,298.4,308.2,1468,43.8,2,0,1
165,M15024,0,298.5,308.3,1440,43.6,5,0,1
166,L47345,-1,298.5,308.4,1733,26.0,8,0,1
167,H29580,1,298.4,308.2,1612,32.6,10,0,1
168,H29581,1,298.4,308.3,1458,42.9,15,0,1
169,L47348,-1,298.4,308.3,1433,62.3,20,1,3
170,L47349,-1,298.4,308.3,1318,59.1,22,0,1
171,M15030,0,298.4,308.2,1610,35.0,24,0,1
172,L47351,-1,298.2,308.1,1462,50.8,27,0,1
173,M15032,0,298.1,308.0,1924,20.8,29,0,1
174,M15033,0,298.2,308.0,1591,33.7,32,0,1
175,L47354,-1,298.2,308.1,1306,58.3,35,0,1
176,L47355,-1,298.2,308.1,1382,43.5,37,0,1
177,L47356,-1,298.2,308.1,1618,34.7,39,0,1
178,L47357,-1,298.2,308.2,1988,21.4,41,0,1
179,L47358,-1,298.2,308.2,1436,50.2,43,0,1
180,L47359,-1,298.2,308.3,1304,49.8,45,0,1
181,L47360,-1,298.2,308.3,1475,49.9,47,0,1
182,H29595,1,298.2,308.3,1824,24.2,49,0,1
183,M15042,0,298.1,308.2,1342,48.1,54,0,1
184,L47363,-1,298.1,308.2,1485,40.7,57,0,1
185,L47364,-1,298.2,308.2,1667,30.6,59,0,1
186,L47365,-1,298.2,308.2,1446,38.2,61,0,1
187,L47366,-1,298.1,308.3,1301,56.0,63,0,1
188,L47367,-1,298.2,308.4,1379,43.1,65,0,1
189,L47368,-1,298.3,308.5,1606,33.6,67,0,1
190,M15049,0,298.3,308.4,1539,43.4,69,0,1
191,L47370,-1,298.2,308.4,1477,49.9,72,0,1
192,L47371,-1,298.2,308.4,1666,34.6,74,0,1
193,H29606,1,298.2,308.4,1398,51.8,76,0,1
194,H29607,1,298.2,308.4,1678,34.6,81,0,1
195,M15054,0,298.2,308.5,2678,10.7,86,1,3
196,L47375,-1,298.3,308.5,1453,42.9,89,0,1
197,H29610,1,298.3,308.6,1432,49.5,91,0,1
198,M15057,0,298.4,308.6,1527,40.9,96,0,1
199,L47378,-1,298.4,308.7,1588,35.0,99,0,1
200,L47379,-1,298.4,308.6,1433,47.1,101,0,1
201,L47380,-1,298.4,308.6,1609,35.0,103,0,1
202,L47381,-1,298.3,308.5,1575,41.2,105,0,1
203,M15062,0,298.4,308.5,1636,35.7,107,0,1
204,L47383,-1,298.4,308.5,1490,37.9,110,0,1
205,L47384,-1,298.4,308.5,1741,32.8,112,0,1
206,M15065,0,298.5,308.6,1344,53.0,114,0,1
207,L47386,-1,298.5,308.7,1609,35.3,117,0,1
208,M15067,0,298.4,308.7,1421,60.7,119,1,3
209,L47388,-1,298.4,308.6,1591,36.7,122,0,1
210,L47389,-1,298.4,308.6,1477,44.0,124,0,1
211,L47390,-1,298.4,308.7,1523,36.1,126,0,1
212,L47391,-1,298.5,308.7,1575,33.9,128,0,1
213,H29626,1,298.4,308.7,1344,52.9,130,0,1
214,L47393,-1,298.4,308.7,1386,44.9,135,0,1
215,M15074,0,298.3,308.6,1589,37.1,137,0,1
216,L47395,-1,298.3,308.6,1548,40.3,140,0,1
217,L47396,-1,298.3,308.6,1499,38.3,142,0,1
218,L47397,-1,298.3,308.5,1664,31.6,144,0,1
219,L47398,-1,298.3,308.6,1447,38.1,146,0,1
220,M15079,0,298.3,308.5,1434,46.2,148,0,1
221,L47400,-1,298.3,308.5,1416,52.7,151,0,1
222,H29635,1,298.4,308.5,1827,24.3,153,0,1
223,L47402,-1,298.4,308.6,1304,45.0,158,0,1
224,L47403,-1,298.4,308.6,1569,34.4,160,0,1
225,L47404,-1,298.3,308.6,1584,29.3,162,0,1
226,L47405,-1,298.3,308.5,1362,53.8,164,0,1
227,L47406,-1,298.3,308.4,1329,49.2,166,0,1
228,L47407,-1,298.3,308.5,1539,36.1,168,0,1
229,M15088,0,298.3,308.5,1629,37.1,170,0,1
230,L47409,-1,298.3,308.5,1538,32.2,173,0,1
231,L47410,-1,298.3,308.6,1570,34.8,175,0,1
232,L47411,-1,298.3,308.4,1408,43.1,177,0,1
233,L47412,-1,298.2,308.4,1424,47.6,179,0,1
234,L47413,-1,298.2,308.4,1512,34.9,181,0,1
235,L47414,-1,298.2,308.4,1478,42.9,183,0,1
236,M15095,0,298.1,308.3,1680,33.7,185,0,1
237,L47416,-1,298.1,308.3,1495,38.7,188,0,1
238,M15097,0,298.0,308.1,1552,36.6,190,0,1
239,L47418,-1,297.9,308.1,1393,50.3,193,0,1
240,L47419,-1,298.0,308.2,1611,30.6,195,0,1
241,M15100,0,298.0,308.1,1339,51.6,197,0,1
242,L47421,-1,298.0,308.1,1777,24.3,200,0,1
243,L47422,-1,298.0,308.2,1348,58.8,202,1,2
244,L47423,-1,298.0,308.2,1442,44.1,204,0,1
245,M15104,0,298.0,308.2,1395,49.1,206,0,1
246,M15105,0,297.9,308.1,1627,31.4,209,0,1
247,L47426,-1,297.9,308.1,1585,33.5,212,0,1
248,L47427,-1,298.0,308.2,1469,45.5,214,0,1
249,L47428,-1,298.0,308.3,1362,56.8,216,1,2
250,L47429,-1,298.0,308.3,1405,56.2,218,1,2
251,L47430,-1,298.0,308.3,1662,32.7,0,0,1
252,M15111,0,298.0,308.2,1466,42.6,2,0,1
253,L47432,-1,298.0,308.2,1620,35.8,5,0,1
254,L47433,-1,298.0,308.2,1357,48.2,7,0,1
255,L47434,-1,298.0,308.2,1514,37.9,9,0,1
256,L47435,-1,298.0,308.2,1489,40.4,11,0,1
257,L47436,-1,298.1,308.3,1331,63.0,13,0,1
258,L47437,-1,298.0,308.0,1615,29.5,15,0,1
259,L47438,-1,298.1,308.2,1482,37.9,17,0,1
260,M15119,0,298.1,308.2,1420,63.9,19,1,3
261,M15120,0,298.2,308.3,1522,49.1,22,0,1
262,L47441,-1,298.1,308.2,1654,32.1,25,0,1
263,M15122,0,298.1,308.2,1736,26.8,27,0,1
264,M15123,0,298.0,308.1,1587,32.3,30,0,1
265,L47444,-1,298.1,308.2,1390,47.5,33,0,1
266,L47445,-1,298.0,308.1,1454,37.1,35,0,1
267,H29680,1,298.0,308.1,1440,43.7,37,0,1
268,L47447,-1,297.9,308.0,1954,21.1,42,0,1
269,H29682,1,297.9,308.0,1800,24.8,44,0,1
270,L47449,-1,298.0,308.0,1524,37.0,49,0,1
271,H29684,1,298.0,308.0,1520,39.6,51,0,1
272,M15131,0,298.1,308.1,1452,40.8,56,0,1
273,L47452,-1,298.1,308.1,1484,40.4,59,0,1
274,L47453,-1,298.1,308.0,1426,46.0,61,0,1
275,L47454,-1,298.1,308.0,1652,28.5,63,0,1
276,L47455,-1,298.0,308.0,1401,54.7,65,0,1
277,M15136,0,298.0,307.9,1750,26.6,67,0,1
278,H29691,1,298.0,308.0,1479,50.7,70,0,1
279,M15138,0,298.0,308.0,1620,29.4,75,0,1
280,L47459,-1,298.0,308.1,1819,23.4,78,0,1
281,M15140,0,298.1,308.1,1456,43.7,80,0,1
282,L47461,-1,298.1,308.0,1626,36.5,83,0,1
283,M15142,0,298.1,308.1,1390,49.8,85,0,1
284,L47463,-1,298.2,308.2,1469,43.0,88,0,1
285,L47464,-1,298.2,308.3,2051,19.2,90,0,1
286,L47465,-1,298.2,308.3,1568,36.0,92,0,1
287,L47466,-1,298.2,308.3,1589,33.2,94,0,1
288,L47467,-1,298.2,308.3,1805,31.6,96,0,1
289,H29702,1,298.2,308.4,1385,42.2,98,0,1
290,L47469,-1,298.1,308.4,1436,46.7,103,0,1
291,L47470,-1,298.1,308.4,1438,45.6,105,0,1
292,L47471,-1,298.0,308.3,1473,42.6,107,0,1
293,L47472,-1,298.1,308.4,1335,40.2,109,0,1
294,H29707,1,298.1,308.5,1392,44.8,111,0,1
295,M15154,0,298.1,308.5,1372,51.1,116,0,1
296,M15155,0,298.1,308.6,1716,30.7,119,0,1
297,L47476,-1,298.0,308.5,1395,46.2,122,0,1
298,L47477,-1,298.0,308.5,1713,25.3,124,0,1
299,H29712,1,297.9,308.5,2129,18.7,126,0,1
300,M15159,0,297.8,308.3,1567,35.6,131,0,1
301,L47480,-1,297.8,308.4,1622,38.3,134,0,1
302,L47481,-1,297.7,308.4,1740,27.1,136,0,1
303,H29716,1,297.8,308.4,1512,35.1,138,0,1
304,M15163,0,297.8,308.4,1479,43.5,143,0,1
305,L47484,-1,297.8,308.4,1737,27.5,146,0,1
306,L47485,-1,297.8,308.4,2129,19.2,148,0,1
307,L47486,-1,297.8,308.4,1374,47.1,150,0,1
308,M15167,0,297.8,308.4,1579,36.6,152,0,1
309,L47488,-1,297.9,308.5,1305,47.2,155,0,1
310,M15169,0,297.9,308.5,1449,40.8,157,0,1
311,H29724,1,298.0,308.6,1526,41.8,160,0,1
312,M15171,0,298.0,308.6,1453,44.1,165,0,1
313,L47492,-1,297.9,308.6,1468,36.0,168,0,1
314,L47493,-1,298.0,308.6,1313,50.8,170,0,1
315,M15174,0,297.9,308.5,1300,53.0,172,0,1
316,L47495,-1,297.9,308.4,1646,40.6,175,0,1
317,L47496,-1,297.8,308.4,1714,33.2,177,0,1
318,L47497,-1,297.8,308.4,1685,28.4,179,0,1
319,L47498,-1,297.8,308.4,1512,39.9,181,0,1
320,L47499,-1,297.8,308.4,1612,32.1,183,0,1
321,H29734,1,297.8,308.4,1550,38.2,185,0,1
322,L47501,-1,297.8,308.4,1518,32.5,190,0,1
323,L47502,-1,297.8,308.5,1448,40.0,192,0,1
324,L47503,-1,297.8,308.5,1561,46.3,194,0,1
325,M15184,0,297.8,308.5,1488,41.9,196,0,1
326,L47505,-1,297.8,308.5,1699,27.8,199,0,1
327,L47506,-1,297.7,308.5,1501,41.4,201,0,1
328,L47507,-1,297.7,308.5,1373,56.7,203,1,2
329,H29742,1,297.6,308.4,1703,31.4,205,0,1
330,H29743,1,297.7,308.5,1720,29.9,210,0,1
331,M15190,0,297.6,308.4,1398,41.9,215,0,1
332,M15191,0,297.6,308.4,1391,51.9,218,0,1
333,M15192,0,297.6,308.3,1538,40.2,0,0,1
334,L47513,-1,297.5,308.2,1647,31.3,3,0,1
335,M15194,0,297.5,308.1,1469,44.8,5,0,1
336,L47515,-1,297.4,308.1,1749,25.9,8,0,1
337,M15196,0,297.6,308.2,1995,20.5,10,0,1
338,L47517,-1,297.6,308.3,1742,27.7,13,0,1
339,L47518,-1,297.5,308.2,1563,38.2,15,0,1
340,M15199,0,297.5,308.2,1713,32.2,17,0,1
341,L47520,-1,297.4,308.1,1474,39.4,20,0,1
342,M15201,0,297.4,308.2,1530,32.6,22,0,1
343,L47522,-1,297.4,308.2,1471,46.5,25,0,1
344,L47523,-1,297.5,308.3,1388,48.6,27,0,1
345,M15204,0,297.5,308.2,2448,13.8,29,0,1
346,L47525,-1,297.5,308.3,1585,32.9,32,0,1
347,M15206,0,297.5,308.3,1459,45.2,34,0,1
348,L47527,-1,297.5,308.3,1544,40.8,37,0,1
349,L47528,-1,297.6,308.3,1617,31.7,39,0,1
350,L47529,-1,297.6,308.3,1595,34.3,41,0,1
351,H29764,1,297.6,308.3,1400,44.3,43,0,1
352,M15211,0,297.6,308.4,1611,31.0,48,0,1
353,M15212,0,297.6,308.4,1507,46.0,51,0,1
354,H29767,1,297.5,308.3,1674,30.0,54,0,1
355,L47534,-1,297.6,308.3,1658,34.3,59,0,1
356,L47535,-1,297.6,308.3,1623,36.9,61,0,1
357,M15216,0,297.6,308.4,1398,48.9,63,0,1
358,L47537,-1,297.6,308.4,1517,34.2,66,0,1
359,M15218,0,297.6,308.3,1467,36.7,68,0,1
360,M15219,0,297.6,308.3,1567,34.6,71,0,1
361,M15220,0,297.5,308.3,1521,38.2,74,0,1
362,L47541,-1,297.5,308.3,1596,36.8,77,0,1
363,H29776,1,297.6,308.3,1640,30.9,79,0,1
364,L47543,-1,297.6,308.3,1438,47.8,84,0,1
365,L47544,-1,297.6,308.4,1407,55.2,86,0,1
366,L47545,-1,297.6,308.4,1353,57.5,88,0,1
367,M15226,0,297.6,308.5,1552,40.9,90,0,1
368,M15227,0,297.6,308.4,1569,38.3,93,0,1
369,L47548,-1,297.5,308.4,1489,39.5,96,0,1
370,H29783,1,297.5,308.4,1587,36.1,98,0,1
371,M15230,0,297.5,308.3,1622,37.2,103,0,1
372,L47551,-1,297.5,308.4,1604,38.1,106,0,1
373,M15232,0,297.4,308.3,1405,51.7,108,0,1
374,L47553,-1,297.4,308.3,1412,42.0,111,0,1
375,L47554,-1,297.4,308.3,1431,43.0,113,0,1
376,L47555,-1,297.4,308.2,1533,37.4,115,0,1
377,M15236,0,297.4,308.2,1401,51.9,117,0,1
378,M15237,0,297.4,308.2,1424,53.9,120,0,1
379,L47558,-1,297.3,308.2,1754,29.4,123,0,1
380,L47559,-1,297.3,308.2,1754,26.8,125,0,1
381,L47560,-1,297.5,308.3,2564,12.8,127,1,3
382,L47561,-1,297.5,308.5,1546,40.4,129,0,1
383,L47562,-1,297.5,308.5,1335,48.0,131,0,1
384,M15243,0,297.5,308.6,1842,27.0,133,0,1
385,L47564,-1,297.5,308.5,1712,26.8,136,0,1
386,M15245,0,297.6,308.6,1414,45.4,138,0,1
387,L47566,-1,297.6,308.7,1319,50.9,141,0,1
388,L47567,-1,297.7,308.7,1249,60.4,143,0,1
389,L47568,-1,297.6,308.7,1455,48.2,145,0,1
390,M15249,0,297.6,308.7,1408,54.8,147,0,1
391,L47570,-1,297.6,308.7,1460,46.7,150,0,1
392,L47571,-1,297.6,308.6,1491,38.1,152,0,1
393,M15252,0,297.6,308.5,1490,43.4,154,0,1
394,M15253,0,297.5,308.4,1350,52.2,157,0,1
395,L47574,-1,297.5,308.4,1528,39.9,160,0,1
396,L47575,-1,297.4,308.3,1571,37.7,162,0,1
397,L47576,-1,297.4,308.3,1490,42.6,164,0,1
398,M15257,0,297.4,308.3,1774,28.9,166,0,1
399,H29812,1,297.4,308.3,1502,43.6,169,0,1
400,L47579,-1,297.4,308.4,1392,49.7,174,0,1
401,L47580,-1,297.4,308.5,2100,16.9,176,0,1
402,L47581,-1,297.5,308.5,1722,30.4,178,0,1
403,L47582,-1,297.4,308.6,1678,32.3,180,0,1
404,L47583,-1,297.3,308.6,1273,59.8,182,0,1
405,L47584,-1,297.3,308.6,1297,45.9,184,0,1
406,L47585,-1,297.3,308.5,1350,57.6,186,0,1
407,L47586,-1,297.4,308.6,1439,51.9,188,0,1
408,M15267,0,297.4,308.5,1600,42.1,190,0,1
409,M15268,0,297.4,308.6,1434,44.4,193,0,1
410,L47589,-1,297.4,308.6,1459,41.3,196,0,1
411,M15270,0,297.5,308.6,1472,44.9,198,0,1
412,L47591,-1,297.5,308.7,1429,44.3,201,0,1
413,L47592,-1,297.5,308.6,1388,48.2,203,0,1
414,L47593,-1,297.4,308.4,1573,34.5,205,0,1
415,L47594,-1,297.4,308.4,1588,32.5,207,0,1
416,L47595,-1,297.5,308.4,1511,42.8,209,0,1
417,L47596,-1,297.4,308.5,1495,37.8,211,0,1
418,L47597,-1,297.4,308.4,1394,50.1,213,0,1
419,L47598,-1,297.4,308.4,2151,17.7,0,0,1
420,M15279,0,297.3,308.3,1501,38.2,2,0,1
421,M15280,0,297.3,308.3,1301,39.6,5,0,1
422,M15281,0,297.3,308.3,1657,31.1,8,0,1
423,L47602,-1,297.3,308.3,1333,55.2,11,0,1
424,L47603,-1,297.3,308.3,1484,43.9,13,0,1
425,L47604,-1,297.3,308.4,1430,45.7,15,0,1
426,M15285,0,297.3,308.4,1665,28.9,17,0,1
427,L47606,-1,297.4,308.5,1501,44.9,20,0,1
428,M15287,0,297.5,308.5,1496,42.2,22,0,1
429,M15288,0,297.6,308.6,1595,36.9,25,0,1
430,L47609,-1,297.5,308.6,1208,62.3,28,0,1
431,L47610,-1,297.5,308.6,1596,37.1,30,0,1
432,L47611,-1,297.5,308.5,1446,41.9,32,0,1
433,M15292,0,297.6,308.5,1466,39.7,34,0,1
434,M15293,0,297.6,308.5,1848,23.7,37,0,1
435,M15294,0,297.5,308.5,1484,44.7,40,0,1
436,L47615,-1,297.4,308.3,1493,41.2,43,0,1
437,L47616,-1,297.3,308.3,1504,36.3,45,0,1
438,L47617,-1,297.3,308.3,1538,38.5,47,0,1
439,L47618,-1,297.4,308.4,1341,52.2,49,0,1
440,M15299,0,297.4,308.3,1535,34.6,51,0,1
441,L47620,-1,297.4,308.5,1389,39.2,54,0,1
442,H29855,1,297.5,308.5,1393,46.6,56,0,1
443,L47622,-1,297.4,308.5,1399,61.5,61,1,3
444,H29857,1,297.4,308.5,1469,45.1,63,0,1
445,L47624,-1,297.4,308.4,1582,37.2,68,0,1
446,L47625,-1,297.5,308.6,1793,26.7,70,0,1
447,L47626,-1,297.5,308.6,1452,39.0,72,0,1
448,M15307,0,297.6,308.7,1376,59.9,74,0,1
449,L47628,-1,297.5,308.6,1552,44.9,77,0,1
450,L47629,-1,297.6,308.7,1622,37.9,79,0,1
451,M15310,0,297.6,308.7,1419,41.7,81,0,1
452,H29865,1,297.5,308.6,1440,46.1,84,0,1
453,M15312,0,297.4,308.6,1643,31.0,89,0,1
454,L47633,-1,297.4,308.7,1510,36.2,92,0,1
455,L47634,-1,297.4,308.7,1468,46.6,94,0,1
456,L47635,-1,297.4,308.7,1429,57.4,96,0,1
457,H29870,1,297.3,308.7,1478,47.6,98,0,1
458,L47637,-1,297.4,308.6,1276,53.6,103,0,1
459,L47638,-1,297.3,308.6,1486,42.6,105,0,1
460,L47639,-1,297.4,308.6,1476,42.3,107,0,1
461,H29874,1,297.3,308.6,1431,42.0,109,0,1
462,L47641,-1,297.4,308.7,1402,40.2,114,0,1
463,L47642,-1,297.4,308.7,1433,43.4,116,0,1
464,L47643,-1,297.4,308.7,2874,4.2,118,1,3
465,L47644,-1,297.3,308.6,1511,35.7,120,0,1
466,M15325,0,297.3,308.6,1456,42.9,122,0,1
467,L47646,-1,297.2,308.5,1550,41.5,125,0,1
468,L47647,-1,297.2,308.5,2182,16.5,127,0,1
