Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
-1,298.7,310.2,1717,27.3,26
-1,303.1,312.4,1407,41.2,107
-1,303.9,313.1,1639,29.0,95
-1,299.2,308.4,1386,54.1,26
-1,299.5,310.1,1585,35.2,50
0,297.4,308.3,1405,51.7,108
-1,297.6,308.8,1475,43.0,119
-1,297.7,308.1,1734,30.7,177
-1,298.6,308.3,1278,60.5,32
0,300.2,310.3,1448,40.1,209
-1,300.9,311.0,1438,49.0,61
-1,300.9,310.5,1565,35.9,81
0,299.1,310.3,1233,59.0,81
-1,299.0,310.1,1447,42.8,104
1,299.6,311.0,1714,30.2,128
0,296.3,307.2,1446,45.9,180
0,298.7,309.5,1487,33.6,183
0,301.2,310.0,1625,31.6,173
0,297.2,308.3,1429,42.0,6
-1,297.4,309.2,1274,54.3,121
-1,296.7,308.1,1450,40.9,195
-1,301.9,311.3,1501,40.8,59
-1,301.7,311.0,1585,35.9,185
-1,300.3,309.2,1807,26.4,169
0,297.3,308.4,1686,34.5,97
-1,300.7,312.0,1401,51.1,50
-1,300.1,309.1,1478,46.9,116
0,300.9,310.7,1268,56.3,161
0,297.4,308.5,1465,55.9,153
-1,300.2,311.6,1529,35.5,21
-1,300.4,310.1,1544,41.9,184
0,300.7,309.7,1523,38.2,73
-1,297.4,307.9,1606,33.4,176
-1,303.8,312.5,1523,47.0,152
-1,300.7,309.5,1461,49.9,0
-1,297.7,309.1,1477,38.3,60
-1,299.1,308.8,1429,50.1,84
-1,302.3,311.8,1369,56.2,208
-1,296.2,306.9,1516,39.1,138
0,302.5,312.1,1454,47.6,37
-1,298.8,308.9,1402,37.9,2
0,302.2,311.1,1728,34.0,179
0,303.0,312.7,1553,35.8,122
-1,298.9,310.6,1363,52.6,190
-1,297.8,308.3,1435,50.1,189
-1,300.2,311.6,1671,28.8,149
0,303.3,311.8,1441,44.9,61
-1,303.4,312.2,1580,35.8,90
-1,300.3,311.7,1452,41.5,172
-1,299.4,308.9,1550,33.7,174
-1,300.5,312.0,1453,45.1,151
-1,299.3,308.5,1589,32.7,74
-1,297.5,308.6,1793,26.7,70
-1,303.5,312.1,1326,55.7,114
-1,302.4,310.3,1374,51.2,163
0,301.4,310.5,1495,52.5,201
-1,301.5,310.4,1543,34.0,55
-1,300.2,309.6,1359,51.5,66
0,298.1,307.8,1503,44.7,54
0,298.8,308.5,1510,38.7,66
-1,298.8,308.9,1527,32.4,189
-1,297.1,308.1,1584,36.8,215
1,298.8,309.2,1425,53.9,135
0,296.7,307.7,1597,32.1,114
-1,300.6,310.3,1648,30.5,217
0,295.8,306.3,1235,76.2,89
0,300.0,309.5,1425,40.8,178
-1,299.8,311.1,1603,35.1,179
-1,299.2,308.6,1267,68.2,76
0,300.5,311.6,1577,36.5,4
-1,298.5,309.7,1437,42.6,120
-1,301.0,310.1,1558,32.6,0
-1,300.2,311.6,1767,26.4,20
-1,299.3,308.6,1422,48.9,83
-1,297.4,308.3,1475,40.5,222
-1,298.3,308.6,1570,34.8,175
1,298.9,310.1,1452,49.9,187
-1,298.8,309.1,1368,50.8,115
-1,296.7,307.8,1382,47.5,37
0,298.6,309.4,1774,27.5,154
-1,302.0,311.0,1563,36.2,8
1,298.4,307.9,1700,28.2,120
0,300.7,309.6,1568,35.2,82
0,297.8,309.7,1700,31.3,200
-1,300.1,309.7,1410,48.3,118
-1,299.6,310.2,1473,42.7,81
-1,301.3,310.4,1507,39.1,194
-1,300.5,309.6,1760,30.6,213
0,298.0,308.7,1377,48.5,181
-1,298.3,309.2,1383,52.1,26
0,302.5,311.9,1298,57.5,57
0,298.8,309.0,1592,38.2,169
-1,301.8,309.6,1443,42.7,231
-1,302.6,311.6,1311,53.2,0
-1,301.0,312.3,1424,43.5,136
-1,297.4,308.6,1678,32.3,180
0,297.6,308.3,1538,40.2,0
